doi,title,year,journal,decision_Claude,exclusion_label,justification
10.1002/2017GB005690,EFFECTS OF PARAMETER INDETERMINACY IN PELAGIC BIOGEOCHEMICAL MODULES OF EARTH SYSTEM MODELS ON PROJECTIONS INTO A WARMING FUTURE: THE SCALE OF THE PROBLEM,2017,GLOBAL BIOGEOCHEMICAL CYCLES,Include,,Modèle marin — inclus par règle du doute
10.1002/rra.3877,FROM SITE TO SYSTEM: APPROACHES FOR PRODUCING SYSTEM-WIDE ESTIMATES OF FISH HABITAT IN LARGE RIVERS,2022,RIVER RESEARCH AND APPLICATIONS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.5751/ES-11743-250441,CHALLENGES TO TRANSBOUNDARY FISHERIES MANAGEMENT IN NORTH AMERICA UNDER CLIMATE CHANGE,2020,ECOLOGY AND SOCIETY,Include,,Modèle marin + gestion explicite
10.1086/714416,MANAGING A NATURAL ASSET THAT IS BOTH A VALUE AND A NUISANCE: COMPETITION VERSUS COOPERATION FOR THE BARENTS SEA RED KING CRAB,2021,MARINE RESOURCE ECONOMICS,Include,,Modèle marin + gestion explicite
10.1139/cjfas-2017-0075,INVESTIGATING TRADE-OFFS IN ALTERNATIVE CATCH SHARE SYSTEMS: AN INDIVIDUAL-BASED BIO-ECONOMIC MODEL APPLIED TO THE BAY OF BISCAY SOLE FISHERY,2018,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.1111/j.1467-2979.2011.00444.x,BMEY AS A FISHERIES MANAGEMENT TARGET,2012,FISH AND FISHERIES,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsaa194,SUPPORTING ECOSYSTEM-BASED FISHERIES MANAGEMENT IN MEETING MULTIPLE OBJECTIVES FOR SUSTAINABLE USE OF CORAL REEF ECOSYSTEMS,2021,ICES JOURNAL OF MARINE SCIENCE,Review/synthesis,,Revue de littérature
10.1038/s44183-023-00035-5,"ANTICIPATING TRADE-OFFS AND PROMOTING SYNERGIES BETWEEN SMALL-SCALE FISHERIES AND AQUACULTURE TO IMPROVE SOCIAL, ECONOMIC, AND ECOLOGICAL OUTCOMES",2024,NPJ OCEAN SUSTAINABILITY,Include,,Modèle marin + gestion explicite
10.1002/aff2.70173,INNOVATIVE APPROACHES TO MODELLING AND FORECASTING IN FISHERIES: A CRITICAL REVIEW,2026,"AQUACULTURE, FISH AND FISHERIES",Review/synthesis,,Revue de littérature
10.1007/978-94-007-0332-2_12,MARINE BIOGEOCHEMICAL MODELLING AND DATA ASSIMILATION,2011,OPERATIONAL OCEANOGRAPHY IN THE 21ST CENTURY,Review/synthesis,,Revue de littérature
10.1038/s43705-021-00062-8,MULTIVARIATE TRAIT ANALYSIS REVEALS DIATOM PLASTICITY CONSTRAINED TO A REDUCED SET OF BIOLOGICAL AXES,2021,ISME COMMUNICATIONS,Include,,Modèle marin + gestion explicite
10.1073/pnas.1217822110,INTEGRATING INDIGENOUS LIVELIHOOD AND LIFESTYLE OBJECTIVES IN MANAGING A NATURAL RESOURCE,2013,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Exclude,Not a model,Pas de modèle formel identifié
10.1002/ece3.70020,DINING IN DANGER: RESOLVING ADAPTIVE FISH BEHAVIOR INCREASES REALISM OF MODELED ECOSYSTEM DYNAMICS,2024,ECOLOGY AND EVOLUTION,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1111/gcb.15320,THE ROLE OF CONNECTIVITY IN THE INTERPLAY BETWEEN CLIMATE CHANGE AND THE SPREAD OF ALIEN FISH IN A LARGE MEDITERRANEAN RIVER,2020,GLOBAL CHANGE BIOLOGY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.5194/gmd-13-4663-2020,OPTIMALITY-BASED NON-REDFIELD PLANKTON-ECOSYSTEM MODEL (OPEM V1.1) IN UVIC-ESCM 2.9-PART 1: IMPLEMENTATION AND MODEL BEHAVIOUR,2020,GEOSCIENTIFIC MODEL DEVELOPMENT,Include,,Modèle marin + gestion explicite
10.5194/gmd-11-4241-2018,ECOGENIE 1.0: PLANKTON ECOLOGY IN THE CGENIE EARTH SYSTEM MODEL,2018,GEOSCIENTIFIC MODEL DEVELOPMENT,Include,,Modèle marin — inclus par règle du doute
10.1016/j.ecolecon.2024.108358,A BIOECONOMIC MODEL FOR A MULTISPECIES SMALL-SCALE FISHERY SYSTEM,2024,ECOLOGICAL ECONOMICS,Include,,Modèle marin + gestion explicite
10.1016/j.scitotenv.2018.07.196,WHERE WILL THREATENED MIGRATORY BIRDS GO UNDER CLIMATE CHANGE? IMPLICATIONS FOR CHINA'S NATIONAL NATURE RESERVES,2018,SCIENCE OF THE TOTAL ENVIRONMENT,Include,,Modèle marin + gestion explicite
10.1016/j.ocecoaman.2022.106349,EXPLORATION OF FISHERIES MANAGEMENT POLICIES IN THE GULF OF NICOYA (COSTA RICA) USING ECOSYSTEM MODELLING,2022,OCEAN & COASTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2022.106454,"SIZE- AND AGE-DEPENDENT NATURAL MORTALITY IN FISH POPULATIONS: BIOLOGY, MODELS, IMPLICATIONS, AND A GENERALIZED LENGTH-INVERSE MORTALITY PARADIGM",2022,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1111/1365-2664.12110,EVALUATING MARINE SPATIAL CLOSURES WITH CONFLICTING FISHERIES AND CONSERVATION OBJECTIVES,2013,JOURNAL OF APPLIED ECOLOGY,Include,,Modèle marin + gestion explicite
10.5194/bg-22-7233-2025,INCLUDING DIFFERENT MESOZOOPLANKTON FEEDING STRATEGIES IN A BIOGEOCHEMICAL OCEAN MODEL IMPACTS GLOBAL OCEAN BIOMASS AND CARBON CYCLE,2025,BIOGEOSCIENCES,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsw047,A GUINEA PIG'S TALE: LEARNING TO REVIEW END-TO-END MARINE ECOSYSTEM MODELS FOR MANAGEMENT APPLICATIONS,2016,ICES JOURNAL OF MARINE SCIENCE,Review/synthesis,,Revue de littérature
10.1111/ecog.02272,SCALE OF INFERENCE: ON THE SENSITIVITY OF HABITAT MODELS FOR WIDE-RANGING MARINE PREDATORS TO THE RESOLUTION OF ENVIRONMENTAL DATA,2017,ECOGRAPHY,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsw051,MODELLING MULTIPLE MANAGEMENT OBJECTIVES IN FISHERIES: AUSTRALIAN EXPERIENCES,2017,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2016.09.011,"MANAGEMENT STRATEGY EVALUATION USING THE INDIVIDUAL-BASED, MULTISPECIES MODELING APPROACH OSMOSE",2016,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1111/faf.12398,SPATIO-TEMPORAL MODELS OF INTERMEDIATE COMPLEXITY FOR ECOSYSTEM ASSESSMENTS: A NEW TOOL FOR SPATIAL FISHERIES MANAGEMENT,2019,FISH AND FISHERIES,Include,,Modèle marin + gestion explicite
10.1139/cjfas-2014-0561,COMPARING MODEL PREDICTIONS FOR ECOSYSTEM-BASED MANAGEMENT,2016,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.1038/s43586-022-00154-2,OCEAN BIOGEOCHEMICAL MODELLING,2022,NATURE REVIEWS METHODS PRIMERS,Include,,Modèle marin — inclus par règle du doute
10.1093/icesjms/fsad213,CALIBRATING ECOSYSTEM MODELS TO SUPPORT ECOSYSTEM-BASED MANAGEMENT OF MARINE SYSTEMS,2024,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.pocean.2012.03.009,SCREENING CALIFORNIA CURRENT FISHERY MANAGEMENT SCENARIOS USING THE ATLANTIS END-TO-END ECOSYSTEM MODEL,2012,PROGRESS IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1016/j.rsma.2021.102020,TRADE-OFFS BETWEEN EMPLOYMENT AND PROFITABILITY IN A MEDITERRANEAN SEA MIXED BOTTOM TRAWL FISHERY,2021,REGIONAL STUDIES IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1111/nrm.12122,MARINE RESERVE CREATION AND INTERACTIONS BETWEEN FISHERIES AND CAPTURE-BASED AQUACULTURE: A BIO-ECONOMIC MODEL ANALYSIS,2017,NATURAL RESOURCE MODELING,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2024.106998,TRADE-OFFS BETWEEN SPATIAL TEMPORAL CLOSURES AND EFFORT REDUCTION MEASURES TO ENSURE FISHERIES SUSTAINABILITY,2024,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1016/j.ecolind.2021.108404,EFFECTS OF SAMPLE GEAR ON ESTUARINE NEKTON ASSEMBLAGE ASSESSMENTS AND FOOD WEB MODEL SIMULATIONS,2021,ECOLOGICAL INDICATORS,Include,,Modèle marin + gestion explicite
10.1111/ddi.13068,INTEGRATING CITIZEN SCIENCE DATA WITH EXPERT SURVEYS INCREASES ACCURACY AND SPATIAL EXTENT OF SPECIES DISTRIBUTION MODELS,2020,DIVERSITY AND DISTRIBUTIONS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1002/aqc.70196,INTEGRATING REGULATING ECOSYSTEM SERVICES IN MARINE CONSERVATION PLANNING,2025,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Include,,Modèle marin + gestion explicite
10.1016/j.jenvman.2014.04.020,THE ROLE OF SPATIAL INFORMATION IN THE PRESERVATION OF THE SHRIMP NURSERY FUNCTION OF MANGROVES: A SPATIALLY EXPLICIT BIO-ECONOMIC MODEL FOR THE ASSESSMENT OF LAND USE TRADE-OFFS,2014,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.1016/j.marpol.2019.103639,ECOSYSTEM-BASED FISHERIES MANAGEMENT REQUIRES BROADER PERFORMANCE INDICATORS FOR THE HUMAN DIMENSION,2019,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.1111/geb.12281,THE GLOBAL OCEAN IS AN ECOSYSTEM: SIMULATING MARINE LIFE AND FISHERIES,2015,GLOBAL ECOLOGY AND BIOGEOGRAPHY,Include,,Modèle marin + gestion explicite
10.5194/esd-11-1051-2020,EXPANDING THE DESIGN SPACE OF STRATOSPHERIC AEROSOL GEOENGINEERING TO INCLUDE PRECIPITATION-BASED OBJECTIVES AND EXPLORE TRADE-OFFS,2020,EARTH SYSTEM DYNAMICS,Include,,Modèle marin + gestion explicite
10.1146/annurev-marine-120709-142848,MODELING DIVERSE COMMUNITIES OF MARINE MICROBES,2011,"ANNUAL REVIEW OF MARINE SCIENCE, VOL 3",Review/synthesis,,Revue de littérature
10.5194/esd-15-987-2024,EXPLORATION OF DIVERSE SOLUTIONS FOR THE CALIBRATION OF IMPERFECT CLIMATE MODELS,2024,EARTH SYSTEM DYNAMICS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.jtbi.2024.111854,EMERGENT TRADE-OFFS AMONG PLASTICITY STRATEGIES IN MIXOTROPHS,2024,JOURNAL OF THEORETICAL BIOLOGY,Include,,Modèle marin + gestion explicite
10.1016/j.jmarsys.2018.12.003,SEASONAL VARIATION IN LIGHT RESPONSE OF POLAR PHYTOPLANKTON,2019,JOURNAL OF MARINE SYSTEMS,Review/synthesis,,Revue de littérature
10.5194/os-11-573-2015,CONSTRAINING PARAMETERS IN MARINE PELAGIC ECOSYSTEM MODELS - IS IT ACTUALLY FEASIBLE WITH TYPICAL OBSERVATIONS OF STANDING STOCKS?,2015,OCEAN SCIENCE,Include,,Modèle marin — inclus par règle du doute
10.1086/682167,"FISH, FARMERS, AND FLOODS: COORDINATING INSTITUTIONS TO OPTIMIZE THE PROVISION OF ECOSYSTEM SERVICES",2015,JOURNAL OF THE ASSOCIATION OF ENVIRONMENTAL AND RESOURCE ECONOMISTS,Include,,Modèle marin + gestion explicite
10.1016/j.oneear.2020.01.008,"TO ACHIEVE A SUSTAINABLE BLUE FUTURE, PROGRESS ASSESSMENTS MUST INCLUDE INTERDEPENDENCIES BETWEEN THE SUSTAINABLE DEVELOPMENT GOALS",2020,ONE EARTH,Include,,Modèle marin + gestion explicite
10.1111/ddi.12782,FINDING THE RIGHT FIT: COMPARATIVE CETACEAN DISTRIBUTION MODELS USING MULTIPLE DATA SOURCES AND STATISTICAL APPROACHES,2018,DIVERSITY AND DISTRIBUTIONS,Include,,Modèle marin + gestion explicite
10.1016/j.marpol.2016.04.002,A SPATIO-TEMPORAL ECOSYSTEM MODEL TO SIMULATE FISHING MANAGEMENT PLANS: A CASE OF STUDY IN THE GULF OF GABES (TUNISIA),2016,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsaf110,INTEGRATING DIVERSE MARINE PREDATOR DATA FOR ROBUST SPECIES DISTRIBUTION MODELS IN A DYNAMIC OCEAN,2025,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1071/MF10279,MODELLING CLIMATE-CHANGE EFFECTS ON AUSTRALIAN AND PACIFIC AQUATIC ECOSYSTEMS: A REVIEW OF ANALYTICAL TOOLS AND MANAGEMENT IMPLICATIONS,2011,MARINE AND FRESHWATER RESEARCH,Review/synthesis,,Revue de littérature
10.3389/fmars.2018.00425,MANAGING LOCAL STRESSORS FOR CORAL REEF CONDITION AND ECOSYSTEM SERVICES DELIVERY UNDER CLIMATE SCENARIOS,2018,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1017/age.2025.8,FISHERY MANAGEMENT AMIDST SPATIALLY DIFFERENTIATED ECOLOGICAL-ECONOMIC EXTERNALITIES,2025,AGRICULTURAL AND RESOURCE ECONOMICS REVIEW,Include,,Modèle marin + gestion explicite
10.1016/j.cosust.2018.04.003,OPTIMIZING RESOURCE USE EFFICIENCIES IN THE FOOD-ENERGY-WATER NEXUS FOR SUSTAINABLE AGRICULTURE: FROM CONCEPTUAL MODEL TO DECISION SUPPORT SYSTEM,2018,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1093/icesjms/fsv009,TRADE-OFFS BETWEEN INVERTEBRATE FISHERIES CATCHES AND ECOSYSTEM IMPACTS IN COASTAL NEW ZEALAND,2015,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1007/s10666-010-9226-2,HARE OR TORTOISE? TRADE-OFFS IN RECOVERING SUSTAINABLE BIOECONOMIC SYSTEMS,2010,ENVIRONMENTAL MODELING & ASSESSMENT,Include,,Modèle marin + gestion explicite
