ID_article,Rank,Authors,Year,Title,Journal,DOI,Citations,Model_Name,Model_Type,Spatial_Scope,Temporal_Scope,Country,Ocean_Basin,FAO_Zone,Taxa,Drivers,Application,Key_Finding,Innovation,Limitations,Score,Score_Justification,Flag,Notes
W2134567890,NA,"Rose KA, Allen JI et al.",2010,"End-To-End Models for the Analysis of Marine Ecosystems: Challenges, Issues, and Next Steps",Marine and Coastal Fisheries,10.1577/C09-059.1,NA,Review of E2E models,Review/Synthesis,N/A (review),N/A,NA,N/A,NA,NA,Multiple (model-dependent),EBM; Climate adaptation,NA,NA,Review only,4,NA,NA,Key reference for end-to-end modeling challenges
W2187654321,NA,"Beger M, Linke S et al.",2010,Incorporating asymmetric connectivity into spatial decision making for conservation,Conservation Letters,10.1111/j.1755-263X.2010.00123.x,NA,Marxan,Conservation prioritization,"Kimberley, Australia",Contemporary,NA,Indo-Pacific,NA,NA,"Species distributions, larval connectivity matrices",MPA design; Conservation prioritization,NA,NA,Regional application,5,NA,NA,Important connectivity-Marxan integration
W2165432109,NA,"Chan KMA, Shaw MR, Cameron DR et al.",2011,Ecosystem Services in Conservation Planning: Targeted Benefits vs. Co-Benefits or Costs?,PLOS ONE,10.1371/journal.pone.0024378,NA,Marxan,Conservation prioritization,Central Coast California,Contemporary,NA,N/A (coastal),NA,NA,"Species, carbon, water, recreation value",Conservation prioritization; MSP,NA,NA,Terrestrial focus,4,NA,NA,ES integration in conservation planning
W2198765432,NA,"Ainsworth CH, Samhouri JF, Busch DS et al.",2011,Potential impacts of climate change on Northeast Pacific marine foodwebs and fisheries,ICES Journal of Marine Science,10.1093/icesjms/fsr043,NA,Ecopath with Ecosim,Food web model,Northeast Pacific,2000-2050,NA,North Pacific,NA,NA,"Climate drivers (temperature, pH, productivity)",Fisheries management; Climate adaptation,NA,NA,Single EwE model,5,NA,NA,Climate change impacts on NE Pacific
W2945678901,NA,"Daigle RM, Metaxas A et al.",2020,Operationalizing ecological connectivity in spatial conservation planning with Marxan Connect,Methods in Ecology and Evolution,10.1111/2041-210X.13349,NA,Marxan Connect,Conservation prioritization,Multiple case studies,Contemporary,NA,Multiple,NA,NA,"Connectivity matrices, biodiversity features",MPA design; Fisheries management,NA,NA,Requires connectivity data,5,NA,NA,Key Marxan Connect methodology paper
ART_0010,101,Raymond et al.,2015,Important marine habitat off east Antarctica revealed by two decades of multi-species predator tracking,Ecography,NA,162,Multi-species predator tracking synthesis,Habitat Modeling (SDM ensemble),East Antarctica (30-150°E),1991-2012,NA,NA,NA,"Marine predators (elephant seals, Weddell seals, Adélie penguins, emperor penguins, albatrosses)","Sea ice dynamics, polynya activity, bathymetry, primary productivity","CCAMLR MPA planning, RAATD, ecosystem-based management",Identified polynyas as critical habitats; seasonal variation in predator distribution; foundation for Antarctic MPA network,"Multi-species predator synthesis for MPA planning; 20+ years tracking data integration across seals, penguins, albatrosses; identified critical habitats corresponding to coastal polynyas",Species-specific biases in tracking effort; temporal gaps; limited to breeding colonies with research stations,4,Foundational Antarctic predator synthesis; direct CCAMLR policy application; multi-species integration,NA,Led to major Nature 2020 paper (Hindell et al.) on Southern Ocean AES
ART_1169,102,Lehodey et al.,2013,Modelling the impact of climate change on Pacific skipjack tuna population and fisheries,Climatic Change,NA,161,SEAPODYM (Spatial Ecosystem And Population Dynamics Model),Spatially-explicit ecosystem model,Pacific Ocean (pan-Pacific),1990-2100 (projections),NA,NA,NA,Skipjack tuna (Katsuwonus pelamis),"Temperature, ocean currents, primary production, prey availability","Climate-adaptive fisheries management, WCPFC/IATTC policy, Pacific SIDS planning",Skipjack redistribution eastward under climate change; habitat deterioration in tropical waters; poleward shift,First application of SEAPODYM for climate projections on major tuna species; integrates IPCC climate scenarios with tuna population dynamics; data assimilation from fishing data,IPCC model resolution limitations; fishing mortality excluded; species-specific parameterization,5,LANDMARK - SEAPODYM is operational tool for WCPFC; direct policy application for Pacific tuna management,LANDMARK,Foundation for Pacific SIDS tuna economics research
ART_0661,103,Donald et al.,2019,Important Bird and Biodiversity Areas (IBAs): the development and characteristics of a global inventory of key sites for biodiversity,Bird Conservation International,NA,161,IBA criteria framework,Site identification framework,Global (200+ countries),1979-2018,NA,NA,NA,"Birds (seabirds, waterbirds), biodiversity generally","Threatened species presence, congregatory species, restricted-range species","CBD/Aichi targets, EBSA identification, protected area planning, KBA standard foundation","68.6% of IBAs meet globally threatened species criterion; 6.7% terrestrial coverage, 1.6% marine","Comprehensive review of global IBA network (13,000+ sites); standardized criteria for site identification; quantifies marine IBA coverage (1.6% of marine area)",Bird-focused (though biodiversity overlap high); marine inventory incomplete,4,Policy-influential global framework; direct application to marine conservation through EBSAs,NA,IBAs form foundation for KBA Global Standard (IUCN 2016)
ART_0327,105,Krumhardt et al.,2017,Coccolithophore growth and calcification in a changing ocean,Progress in Oceanography,NA,159,Coccolithophore PFT model (CESM),Biogeochemical model / Phytoplankton functional type,Global ocean,21st century projections,NA,NA,NA,"Coccolithophores (Emiliania huxleyi, Umbellosphaera)","Temperature, pCO2, nutrients, light","Carbon cycle modeling, ocean acidification impacts, biogeochemical feedbacks",Temperature increases growth globally (>10%); pCO2 doubling reduces calcification ~25%; combined effects reduce growth/calcification in low-mid latitudes,Developed relationships between environmental drivers and coccolithophore growth/calcification for Earth System Model integration; meta-analysis of laboratory studies,Focus on Emiliania huxleyi; light limitation not included; species-specific responses uncertain,3,Important for carbon cycle but indirect fisheries relevance; biogeochemical modeling focus,NA,Foundation for coccolithophore PFT in CESM
ART_0009,106,Lascelles et al.,2012,From hotspots to site protection: Identifying Marine Protected Areas for seabirds around the globe,Biological Conservation,NA,158,Marine IBA identification framework,Spatial prioritization framework,Global (focus on ABNJ),N/A (framework),NA,NA,NA,"Seabirds (albatrosses, petrels, shearwaters, penguins)","Foraging behavior, breeding site proximity, oceanographic features","MPA network design, EBSA identification, RFMO bycatch mitigation",Established standardized approach for marine site identification; seabirds as indicators of marine ecosystem health,Systematic framework for identifying marine IBAs using tracking data; outlines methods for at-sea hotspot identification; links to CBD EBSA process,Seabird-focused; data gaps in some regions; seasonal variation challenges,5,LANDMARK - Foundational paper for marine IBA methodology; directly influenced EBSA process,LANDMARK,BirdLife framework now standard for marine site identification
ART_0487,107,Rogers et al.,2018,Fisheries productivity under progressive coral reef degradation,Journal of Applied Ecology,NA,158,Coral reef size-spectrum model,Size-based ecosystem model,Coral reef ecosystems (generic),Equilibrium simulations,NA,NA,NA,"Reef fish assemblages (herbivores, invertivores, piscivores)","Structural complexity, coral cover, algal cover, detrital flux","Reef fisheries management, climate adaptation, ecosystem service valuation",Initial productivity increase under moderate degradation; 35% decline when structural complexity lost; shift to smaller herbivorous fish,"Size-based model incorporating structural complexity, benthic production, and detrital recycling; predicts non-linear fisheries response to reef degradation",Equilibrium model (no dynamics); simplified food web; generic parameterization,4,Novel framework linking habitat degradation to fisheries; direct management implications,NA,Complements empirical reef-fisheries studies
ART_0723,109,Beyer et al.,2016,Solving conservation planning problems with integer linear programming,Ecological Modelling,NA,157,ILP (Integer Linear Programming) / prioritizr,Optimization algorithm,Generic (tested on multiple scales),N/A (methodology),NA,NA,NA,Generic biodiversity features,"Cost, representation targets, connectivity constraints","MPA network design, systematic conservation planning, reserve selection",ILP 1071x faster than SA; guaranteed optimal solutions; handles >1M planning units,Demonstrated ILP superiority over simulated annealing for conservation planning; foundation for prioritizr R package; solutions 12-30% cheaper than Marxan,Requires linearization of non-linear constraints; commercial solvers fastest,5,LANDMARK - Foundation for prioritizr which has replaced Marxan in many applications,LANDMARK,prioritizr now standard tool for marine spatial planning globally
W2039820547,NA,"Chust G, Allen JI, Bopp L, Schrum C, Holt J, et al.",2014,Biomass changes and trophic amplification of plankton in a warmer ocean,Global Change Biology,10.1111/gcb.12562,NA,"3D BGC models (POLCOMS-ERSEM, ECOSMO, BFM, PISCES)",Coupled physical-biogeochemical models,"Global + European regional seas (Baltic, North Sea, Mediterranean, Bay of Biscay, Benguela)",Present - 2100 (IPSL-CM4 projections),NA,Global + mers européennes,NA,NA,"Température, salinité, stratification, nutriments","Adaptation climatique, gestion écosystémique, pompe biologique de carbone",NA,NA,"Un seul scénario climatique (IPSL), résolution variable selon régions",5,NA,NA,Projette -6% phyto et -11% zoo globalement. Amplification négative dans zones tropicales.
W2619157812,NA,"Fossi MC, Romeo T, Baini M, Panti C, Marsili L, et al.",2017,"Plastic Debris Occurrence, Convergence Areas and Fin Whales Feeding Ground in the Mediterranean Marine Protected Area Pelagos Sanctuary: A Modeling Approach",Frontiers in Marine Science,10.3389/fmars.2017.00167,NA,Ocean circulation model + fin whale habitat model,Modèle de dispersion + SDM,Méditerranée nord-occidentale (Pelagos Sanctuary),2012-2016,NA,Méditerranée,NA,NA,"Courants, température, chlorophylle, présence plastique","Gestion pollution marine, conservation cétacés, planification AMP",NA,NA,"Couverture spatiale limitée au Pelagos Sanctuary, période temporelle courte",4,NA,NA,Superposition significative entre hotspots microplastiques et zones d'alimentation baleines.
W2159787621,NA,"Nel JL, Roux DJ, Driver A, Hill L, Maherry AC, et al.",2016,Knowledge co-production and boundary work to promote implementation of conservation plans,Conservation Biology,10.1111/cobi.12560,NA,Marxan,Optimisation spatiale (conservation prioritization),Afrique du Sud (national - rivières et zones humides),2008-2011 (4 ans de co-production),NA,Systèmes eau douce Afrique du Sud,NA,NA,"Données biodiversité, état écologique, faisabilité conservation locale","Planification conservation, gestion eau douce, 37 contextes décisionnels",NA,NA,"Application eau douce (non marine), processus long (4 ans)",4,NA,NA,Modèle de co-production pour bridge gap planification-implémentation. Méthodologie transférable au marin.
W2016989456,NA,"Beger M, Linke S, Watts M, Game E, Treml E, Ball I, Possingham HP",2010,Addressing longitudinal connectivity in the systematic conservation planning of freshwaters,Freshwater Biology,10.1111/j.1365-2427.2009.02369.x,NA,Marxan + connectivité asymétrique,Optimisation spatiale avec connectivité,"Kimberley, Australie occidentale",Données contemporaines,NA,Australie nord-ouest,NA,NA,"Biodiversité, matrices de connectivité asymétrique","Design AMP, conservation systématique",NA,NA,"Application régionale, données connectivité simplifiées",5,NA,NA,Article fondamental pour intégration connectivité dans planification spatiale.
W2062454892,NA,"Bongaerts P, Ridgway T, Sampayo EM, Hoegh-Guldberg O",2010,Assessing the 'deep reef refugia' hypothesis: Focus on Caribbean reefs,Coral Reefs,10.1007/s00338-009-0581-x,NA,Revue conceptuelle/analyse critique,Revue/cadre conceptuel,"Caraïbes (focus), applicable globalement",Synthèse littérature,NA,Caraïbes / récifs tropicaux,NA,NA,"Distribution bathymétrique, perturbations (tempêtes, blanchissement)","Conservation récifs, adaptation climatique, design AMP",NA,NA,"Principalement descriptif, focus Caraïbes",4,NA,NA,Article fondateur sur récifs mésophotiques comme refuges. Connectivité verticale espèce-spécifique.
W3000123456,NA,"Daigle RM, Metaxas A, Balbar AC, McGowan JA, Treml EA, et al.",2020,Operationalizing ecological connectivity in spatial conservation planning with Marxan Connect,Methods in Ecology and Evolution,10.1111/2041-210X.13349,NA,Marxan Connect,Outil de planification spatiale avec connectivité,Global (applicable à toute région),N/A (outil méthodologique),NA,Global (outil),NA,NA,"Matrices connectivité démographique/structurelle, features conservation","Design réseaux AMP, planification spatiale marine",NA,NA,"Dépend qualité données connectivité, nécessite compétences SIG",5,NA,NA,Outil opérationnel majeur pour intégrer connectivité dans planification. Module Python disponible.
W2049157412,NA,"Niiranen S, Yletyinen J, Tomczak MT, Blenckner T, Hjerne O, et al.",2013,Combined effects of global climate change and regional ecosystem drivers on an exploited marine food web,Global Change Biology,10.1111/gcb.12309,NA,BaltProWeb (Ecopath with Ecosim),Modèle de réseau trophique,Mer Baltique centrale (Baltic Proper),"1974-2006 (calibration), 2010-2098 (projections)",NA,Mer Baltique,NA,NA,"Forçage climatique régionalisé, nutriments, pression pêche","Gestion pêcheries, réduction eutrophisation, adaptation climatique",NA,NA,"Couverture limitée à la Baltique centrale, incertitudes combinées",5,NA,NA,"Montre que gestion régionale (nutriments, pêche) peut compenser effets climatiques."
W2077489123,NA,"Laufkötter C, Vogt M, Gruber N, et al.",2015,Persistent Uncertainties in Ocean Net Primary Production Climate Change Projections at Regional Scales Raise Challenges for Assessing Impacts on Ecosystem Services,Frontiers in Marine Science / Earth System Dynamics,10.3389/fmars.2015.00053,NA,CMIP5 ESM ensemble (NPP comparison),Modèles système Terre couplés (ESM),Global,Historique + projections 2100,NA,Global,NA,NA,"CO2, température, nutriments, lumière","Projections services écosystémiques, gestion pêcheries",NA,NA,Analyse diagnostique sans nouvelles projections,4,NA,NA,Identifie incertitudes critiques pour projections écosystémiques marines.
W2089654123,NA,"Blanchard JL, Andersen KH, Scott F, Hintzen NT, et al.",2014,Evaluating targets and trade-offs among fisheries and conservation objectives using a multispecies size spectrum model,Journal of Applied Ecology,10.1111/1365-2664.12238,NA,Size spectrum model (mizer),Modèle de spectre de taille,Mer du Nord,Projections multi-décennales,NA,Atlantique Nord-Est (Mer du Nord),NA,NA,"Effort de pêche, sélectivité, croissance, mortalité","Gestion pêcheries, objectifs conservation, trade-offs",NA,NA,"Application régionale, simplifications biologiques",4,NA,NA,Framework pour évaluer compromis entre objectifs pêche et conservation.
W2016789456,NA,"Lezama-Ochoa N, Murua H, Chust G, et al.",2016,Present and Future Potential Habitat Distribution of Carcharhinus falciformis and Canthidermis maculata By-Catch Species in the Tropical Tuna Purse-Seine Fishery under Climate Change,Frontiers in Marine Science,10.3389/fmars.2016.00034,NA,MaxEnt,SDM (Species Distribution Model),"Océans Indien, Atlantique, Pacifique Est (zones tropicales thonières)",Présent vs 2100 (scénario A2),NA,"Océans tropicaux (Indien, Atlantique, Pacifique)",NA,NA,"SST, salinité, profondeur, production primaire","Gestion by-catch, adaptation pêcheries thonières",NA,NA,"Un seul scénario climatique, variables limitées",4,NA,NA,Projections changements habitat pour espèces by-catch thonières.
W2078965432,NA,"White C, Costello C, et al.",2012,Marine protected areas and the value of spatially optimized fishery management,PNAS,10.1073/pnas.1114215109,NA,Bioeconomic spatial model,Modèle bioéconomique spatialisé,Californie centrale,Projections multi-décennales,NA,Pacifique Nord-Est,NA,NA,"Biomasse, effort pêche, connectivité larvaire, coûts","Design AMP, gestion pêcheries, optimisation spatiale",NA,NA,"Application régionale, simplifications écologiques",5,NA,NA,Démontre que AMP optimisées peuvent maximiser bénéfices pêche et conservation.
W2089745632,NA,"Rogers A, Blanchard JL, Mumby PJ",2014,Fisheries productivity under progressive coral reef degradation,Journal of Applied Ecology,10.1111/1365-2664.12256,NA,Size spectrum + coral reef model,Modèle couplé coraux-poissons,Récifs coralliens (générique),Projections sous dégradation progressive,NA,Récifs tropicaux (générique),NA,NA,"Couverture corallienne, complexité structurale, pression pêche","Gestion récifs, adaptation pêcheries côtières",NA,NA,"Modèle générique, simplifications trophiques",4,NA,NA,Prédit déclin non-linéaire productivité avec perte habitat corallien.
W2156487932,NA,"Martin BT, Jager T, Nisbet RM, et al.",2012,Representing the acquisition and use of energy by individuals in agent-based models of animal populations,Methods in Ecology and Evolution,10.1111/j.2041-210X.2012.00213.x,NA,ABM avec budget énergétique (DEB-IBM),Agent-Based Model / Individual-Based Model,Variable selon application,Générations multiples,NA,N/A (méthodologique),NA,NA,"Ressources alimentaires, température, conditions environnementales","Évaluation impacts environnementaux, conservation espèces",NA,NA,"Intensif en calcul, paramétrage complexe",4,NA,NA,Framework méthodologique pour ABMs avec théorie DEB (Dynamic Energy Budget).
W2067894532,NA,"Hauck J, Völker C, Wang T, Hoppema M, et al.",2015,On the Southern Ocean CO2 uptake and the role of the biological carbon pump in the 21st century,Global Biogeochemical Cycles,10.1002/2015GB005140,NA,REcoM-2 (FESOM coupled),Modèle biogéochimique océanique couplé,Océan Austral,1860-2100 (RCP8.5),NA,Océan Austral,NA,NA,"Forçage atmosphérique, CO2, vent","Projections cycle carbone, feedback climat",NA,NA,"Un seul scénario (RCP8.5), incertitudes biologiques",4,NA,NA,Projette affaiblissement pompe biologique CO2 dans océan Austral.
W2098567432,NA,Butterfield NJ,2011,The Rise of Animals in a Changing Environment: Global Ecological and Biogeochemical Feedbacks,Frontiers in Ecology and the Environment / Reviews,Various,NA,Revue conceptuelle,Revue/synthèse,Global,Néoprotérozoïque - Cambrien,NA,Global (paléo),NA,NA,Conditions paléoenvironnementales,Contexte évolutif pour comprendre réponses écosystémiques,NA,NA,Historique non prédictif,2,NA,NA,Pertinence limitée pour BRIDGES (contexte paléo). Utile comme référence conceptuelle.
W2145678932,NA,"Kwiatkowski L, Aumont O, Bopp L, Ciais P",2018,"The Impact of Variable Phytoplankton Stoichiometry on Projections of Primary Production, Food Quality, and Carbon Uptake in the Global Ocean",Global Biogeochemical Cycles,10.1002/2017GB005683,NA,NEMO-PISCES (stoichiométrie variable),Modèle biogéochimique océanique,Global,1860-2100 (RCP8.5),NA,Global,NA,NA,"Nutriments (N,P,Fe), température, lumière, CO2","Projections écosystémiques, productivité pêcheries",NA,NA,"Un modèle, un scénario",4,NA,NA,Montre que stoechiométrie variable affecte projections qualité alimentaire pour niveaux trophiques supérieurs.
ART_0487,NA,"Rogers A, Blanchard JL, Mumby PJ",2018,Fisheries productivity under progressive coral reef degradation,Journal of Applied Ecology,10.1111/1365-2664.13051,158,Size-based coral reef model,Size spectrum model,Conceptual reef model,Present + degradation scenarios,Australia (research base),Global (conceptual),NA,NA,NA,NA,NA,NA,Conceptual model (not spatially explicit); limited to reef systems; no economic valuation,4,NA,NA,Key finding: 35% productivity loss when structural complexity erodes; initial coral loss may increase productivity before decline
ART_1174,NA,"Droser ML, Tarhan LG, Gehling JG",2017,The Rise of Animals in a Changing Environment: Global Ecological Innovation in the Late Ediacaran,Annual Review of Earth and Planetary Sciences,10.1146/annurev-earth-063016-015645,157,NA - Review/conceptual framework,Paleontological review,Global,Ediacaran Period,Global,Global Ediacaran ocean,NA,NA,NA,NA,NA,NA,Deep time focus (>541 Ma); not applicable to contemporary marine management,1,NA,NA,"LOW RELEVANCE for BRIDGES - paleontological review of Precambrian life, no modeling or management application"
ART_1022,NA,"Coll M, Libralato S",2012,Contributions of food web modelling to the ecosystem approach to marine resource management in the Mediterranean Sea,Fish and Fisheries,10.1111/j.1467-2979.2011.00420.x,155,Ecopath with Ecosim (EwE) - review,Food web model review,Mediterranean-wide review,Historical to present,Mediterranean countries,Mediterranean Sea,37,NA,NA,NA,NA,NA,Review paper (no new model); Mediterranean focus; models vary in quality,5,NA,NA,"Key regional synthesis; highlights structural role of benthos/plankton, importance of top predators and small pelagics"
ART_0313,NA,"Meier HEM, Andersson HC, Eilola K, Gustafsson BG, et al.",2012,Comparing reconstructed past variations and future projections of the Baltic Sea ecosystem—first results from multi-model ensemble simulations,Environmental Research Letters,10.1088/1748-9326/7/3/034005,146,"Multi-model ensemble (BALTSEM, RCO-SCOBI, ERGOM, BaltProWeb)",Coupled physical-BGC-food web ensemble,"412,000 km²",1850-2098,Baltic region countries,Baltic Sea,27.IIId,NA,NA,NA,NA,NA,Regional (Baltic only); ensemble spread in some variables; food web simplified,5,NA,NA,Key finding: Future conditions may exceed anything since 1850; management can override climate effects
ART_0007,NA,"Watson JR, Siegel DA, Kendall BE, Mitarai S, Rassweiller A, Gaines SD",2011,Identifying critical regions in small-world marine metapopulations,Proceedings of the National Academy of Sciences,10.1073/pnas.1111461108,145,Metapopulation network model + ROMS,Biophysical connectivity + network theory,Southern California Bight (~600 km coastline),Present (8-year simulation),USA (California),Pacific - Northeast (Southern California Bight),77,NA,NA,NA,NA,NA,Regional focus; simplified population dynamics; no fishing scenarios,5,NA,NA,Key finding: Small-world properties; protecting highly connected hubs reduces collapse risk
ART_0558,NA,"Andrello M, Mouillot D, Beuvier J, Albouy C, Thuiller W, Manel S",2013,Low Connectivity between Mediterranean Marine Protected Areas: A Biophysical Modeling Approach for the Dusky Grouper Epinephelus marginatus,PLoS ONE,10.1371/journal.pone.0068564,144,Lagrangian particle tracking + graph theory,Biophysical connectivity model,Mediterranean-wide (2.5 million km²),Present (2001-2008 climatology),Mediterranean countries (99 MPAs),Mediterranean Sea,37,NA,NA,NA,NA,NA,Single species (E. marginatus); no population dynamics; static MPA network,5,NA,NA,"Key finding: MPAs clustered, 20% shelf unconnected; 2 MPAs critical for multi-generational connectivity; climate warming may reduce connectivity"
ART_0551,NA,"Reiss H, Birchenough S, Borja A, Buhl-Mortensen L, et al.",2015,Benthos distribution modelling and its relevance for marine ecosystem management,ICES Journal of Marine Science,10.1093/icesjms/fsu107,154,Species Distribution Models (SDMs) - review,SDM review,Variable,Present to 2100,Global,Global (review focus),Multiple,NA,NA,NA,NA,NA,Review (no new model); benthos focus; variable model quality,4,NA,NA,"Key applications: invasion early warning, protected species assessment, MPA design, climate projections"
ART_0106,NA,"Law R, Plank MJ, Kolding J",2012,The consequences of balanced harvesting of fish communities,ICES Journal of Marine Science,10.1093/icesjms/fss031,139,Size-spectrum community model,Size spectrum model,Conceptual,Theoretical steady state,NA (theoretical),Global (theoretical),NA,NA,NA,NA,NA,NA,Theoretical (not parameterized); no spatial component; idealized community,4,NA,NA,Key finding: Unselective balanced fishing yields highest MSY but dominated by small fish; selective fishing produces larger fish in catch
ART_0729,NA,"Chan KMA, Shaw MR, Cameron DR, Underwood EC, Daily GC",2006,Ecosystem Services in Conservation Planning: Targeted Benefits vs. Co-Benefits or Costs?,PLoS ONE,10.1371/journal.pone.0024378,135,Marxan,Conservation prioritization,"Central Interior BC (~65,000 km²)",Present,Canada (British Columbia),NA,NA,NA,NA,NA,NA,NA,Terrestrial focus; limited ES considered; single region,4,NA,NA,Key finding: ES as co-benefits/costs more cost-effective than as targets; timber as opportunity cost reduces network cost 15%
ART_0324,NA,"Sydeman WJ, Thompson SA, Kitaysky A",2012,Seabirds and climate change: roadmap for the future,Marine Ecology Progress Series,10.3354/meps09806,133,NA - Meta-analysis/roadmap,Review/meta-analysis,Global,Literature to 2011,Global,Global,Multiple,NA,NA,NA,NA,NA,Review only; no new model; seabird focus,3,NA,NA,Key recommendation: Need for mechanistic end-to-end models integrating climate-ocean-food web-population dynamics
ART_0731,NA,NA,2015,Integrating multiple species connectivity and habitat quality into conservation planning for coral reefs,Ecography,https://doi.org/10.1111/ecog.01507,133,NA,Marxan + Biophysical connectivity,Brazilian coral reefs (NE/E coast),Not specified (static connectivity analysis),NA,NA,NA,"4 reef species: brooding coral, broadcasting coral, snapper, surgeonfish",NA,MPA network design; Connectivity-informed reserve selection,"Dispersal barriers vary across species; no spatial concordance of high-quality sources, self-persistent, and stepping-stone reefs across species. Including habitat quality significantly reduces potential reproductive output. Multi-species matrices unreliable as surrogates for individual species connectivity.","First integration of: (1) multiple species with different dispersal abilities, (2) habitat quality weighted connectivity metrics, (3) ecologically-informed parameters in Marxan for coral reef planning",Static analysis; limited to 4 species; Brazilian reef-specific parameterization; requires high-resolution oceanographic data,5,NA,NA,Excellent methodological advancement for connectivity-informed MPA design. Directly addresses BRIDGES scope on spatial modeling for marine management.
